	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS03420	7543	4696	8172	5036
VV1_RS03425	1160	2144	1152	2144
VV1_RS03450	1342	1952	1340	1952
VV1_RS03455	1589	715	1574	709
VV1_RS03475	281	254	155	108
VV1_RS03480	91	86	91	86
VV1_RS03485	381	174	366	172
VV1_RS03495	16012	11229	15826	10947
VV1_RS03500	1199	266	1197	266
VV1_RS03505	594	598	594	600
VV1_RS03515	1073	358	1062	358
VV1_RS03520	145	141	141	131
VV1_RS03540	367	227	328	161
VV1_RS03565	13245	5991	13235	5993
VV1_RS03775	3524	2392	1243	1005
VV1_RS03850	401	390	405	380
VV1_RS03915	12303	13473	12033	13079
VV1_RS03930	813	427	799	405
VV1_RS03945	2264	1657	2248	1644
VV1_RS03950	3789	2283	2965	1807
VV1_RS03965	2930	1013	2887	947
VV1_RS03990	3696	38557	3690	38421
VV1_RS03995	2926	1060	2936	1058
VV1_RS04020	2031	566	2000	556
VV1_RS04025	29	40	30	40
VV1_RS04045	4041	798	2868	591
VV1_RS04050	6235	1982	4397	1301
VV1_RS04055	2697	688	2487	611
VV1_RS04060	851	286	848	284
VV1_RS04070	94	38	97	39
VV1_RS04075	235	60	234	60
VV1_RS04090	219	98	219	98
VV1_RS04095	701	393	691	393
VV1_RS04110	2346	1984	2254	1882
VV1_RS04115	18	25	18	23
VV1_RS04120	3258	2897	3210	2828
VV1_RS04125	87	296	87	296
VV1_RS04155	624	393	465	269
VV1_RS04175	3302	1746	3103	1590
VV1_RS04180	721	551	716	539
VV1_RS04190	623	448	616	433
VV1_RS04195	629	1122	620	1110
VV1_RS04200	468	656	466	650
VV1_RS04210	586	1237	575	1038
VV1_RS04220	860	742	830	679
VV1_RS04225	1553	1470	1544	1452
VV1_RS04235	2952	2265	2818	2024
VV1_RS04250	7726	290278	7718	288240
VV1_RS04260	1844	1600	1838	1592
VV1_RS04275	6528	2583	6522	2570
VV1_RS04285	1923	487	1920	486
GLNG	24263	564	23892	508
VV1_RS04310	3959	651	3727	599
VV1_RS04315	595	1804	593	1795
VV1_RS04330	735	1483	733	1480
VV1_RS04335	2449	5901	2449	5899
VV1_RS04345	6647	2712	6680	2740
VV1_RS04350	4457	3965	4458	3956
VV1_RS04355	451	448	429	430
VV1_RS04360	929	1501	927	1494
VV1_RS04380	4220	1803	4211	1790
VV1_RS04395	1353	492	1349	470
VV1_RS04400	2005	1430	2001	1426
VV1_RS04495	1531	514	1527	515
VV1_RS04510	5505	7154	5448	7112
VV1_RS04515	4898	3497	4892	3485
VV1_RS04520	118	201	118	201
VV1_RS04530	187	282	180	282
VV1_RS04535	154	341	144	318
VV1_RS04540	579	341	579	341
VV1_RS04545	50	132	35	121
VV1_RS04560	58	71	47	54
VV1_RS04565	17	20	17	20
VV1_RS04580	40	83	53	83
VV1_RS04585	307	96	286	91
VV1_RS04590	5011	1614	5002	1611
VV1_RS04610	22	104	22	104
VV1_RS04620	1241	1756	1232	1753
VV1_RS04680	468	586	391	467
VV1_RS04685	308	372	291	365
VV1_RS04700	10370	1319	10355	1317
VV1_RS04705	3569	2171	3548	2151
VV1_RS04770	3144	1649	3092	1624
VV1_RS04780	182	365	142	328
VV1_RS04785	237	190	214	183
VV1_RS04790	95	236	90	234
VV1_RS04805	2209	1870	2160	1839
VV1_RS04830	4840	11927	4838	11924
VV1_RS04835	8788	10346	8780	10326
VV1_RS04845	6874	13881	6873	13876
VV1_RS04865	38050	24115	38198	24636
VV1_RS04870	5334	7585	5320	7531
VV1_RS04875	13068	22472	13068	22475
VV1_RS04890	200	334	167	297
VV1_RS04895	1550	2557	1543	2549
VV1_RS04900	482	446	479	445
VV1_RS04905	263	221	263	222
VV1_RS04910	947	1941	922	1893
VV1_RS04915	8601	10194	8524	10090
VV1_RS04920	4016	6317	3979	6176
VV1_RS04930	3599	5382	3551	5263
VV1_RS04945	1478	488	1466	470
VV1_RS04950	807	939	782	886
VV1_RS04955	829	812	824	810
VV1_RS04960	667	4494	673	4500
VV1_RS04970	6532	28656	6504	28459
VV1_RS04975	2846	3643	2429	3313
VV1_RS04980	427	476	415	488
VV1_RS04990	970	1144	957	1131
VV1_RS05005	430	388	428	388
VV1_RS05010	748	1405	741	1388
VV1_RS05025	6112	2035	5798	1892
VV1_RS05040	3424	2197	3408	2159
VV1_RS05105	523	502	509	499
VV1_RS05110	75180	8021	75063	7995
