	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
ycbL	1247	895	2414	1974
aspC	6452	3976	7375	6954
ompF	25326	18016	85427	73426
asnS	4933	3386	3005	2842
pncB	1338	812	952	889
pepN	2360	1523	7058	6535
ssuC	13	8	14	13
ssuA	15	16	24	28
ycbR	19	8	20	16
ycbT	64	36	85	52
ycbF	30	24	44	36
pyrD	811	523	319	287
ycbX	475	252	555	449
ycbY	1224	883	1081	902
uup	1396	970	1369	1161
pqiA	317	229	270	216
pqiB	714	567	635	575
ycbZ	1034	748	973	812
yccR	144	105	413	377
yccS	411	326	355	341
helD	820	608	770	694
yccT	12	6	16	14
yccW	587	424	426	382
yccA	2525	1723	3579	2945
hyaA	7	2	5	4
hyaB	9	4	10	15
hyaC	6	8	14	13
hyaF	12	8	17	11
appC	78	72	194	169
appB	33	24	41	36
appA	62	43	77	65
yccC	7462	5813	3151	2545
yccZ	3544	2552	1667	1369
ymcA	2988	2143	1520	1136
ymcB	705	472	357	297
ymcC	1470	1103	1125	691
yccM	56	30	47	48
torR	102	71	165	141
torC	15	13	42	35
torA	31	30	74	78
cbpA	264	227	310	311
agp	269	212	5207	4513
rutG	34	14	31	37
rutD	4	4	3	5
rutB	0	2	0	0
rutA	2	4	5	7
rutR	123	87	152	123
putP	2727	1796	7141	6119
efeO	3026	1636	2481	2200
efeB	1599	904	1393	1175
phoH	361	243	1323	1098
ycdW	788	523	800	658
ycdX	937	667	957	890
csgG	47	39	105	76
csgD	25	22	45	42
ymdC	101	77	194	159
mdoC	72	54	89	61
mdoG	2007	1350	2598	2249
mdoH	1694	1138	1727	1574
mdtG	20	11	26	20
lpxL	114	71	140	105
yceA	1678	1103	972	753
solA	1233	739	1084	1033
pyrC	648	344	444	465
grxB	316	171	433	465
mdtH	41	23	106	92
yceH	460	323	505	501
mviM	542	387	648	562
mviN	265	196	152	147
flgA	21	11	33	34
flgD	11	4	14	12
flgF	6	4	7	3
flgG	11	5	9	6
flgH	3	5	9	8
flgI	9	7	12	11
flgJ	8	4	13	8
flgK	43	33	51	65
flgL	40	30	92	71
rluC	1035	820	960	808
plsX	2944	2198	2706	2278
fabH	4207	3027	3742	3417
fabD	4953	3258	4737	4609
fabG	7863	5253	8908	8562
fabF	8161	5678	6542	6277
pabC	331	254	401	262
yceG	328	245	308	240
tmk	299	188	244	223
holB	319	192	276	261
ycfH	443	300	465	353
ptsG	12883	9249	32078	28405
fhuE	325	127	312	254
ycfM	823	574	1044	966
ycfN	411	256	379	363
nagZ	921	643	926	903
ndh	959	651	263	262
ycfQ	116	69	247	213
ycfS	155	113	255	233
mfd	1646	996	1383	1331
lolC	485	268	437	356
lolD	395	232	285	213
lolE	803	597	1138	1015
ycfX	584	414	1010	875
cobB	760	526	1073	960
potD	4785	3519	4800	4627
potC	573	402	468	435
potB	373	243	199	182
potA	728	420	336	316
pepT	363	307	651	528
ycfD	1081	780	1099	915
phoQ	1704	1327	1480	1361
phoP	1371	1090	1329	1250
purB	1521	848	878	835
hflD	274	138	176	177
trmU	1009	674	841	702
ymfC	100	71	68	74
icd	39514	27458	84266	77839
ycgE	497	328	607	555
ycgF	192	119	373	332
ycgG	13	10	27	18
minD	3298	2523	5475	5239
minC	1154	745	1498	1383
ycgM	975	677	1284	1156
umuC	68	51	82	74
nhaB	360	226	359	307
