	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
ybhD	26	9	45	37
ybhH	4	1	18	9
ybhI	1169	845	914	805
ybhJ	67	67	102	85
ybhC	2704	2226	1938	1807
bioB	1635	1034	1312	1154
bioC	458	278	326	252
bioD	455	308	366	292
uvrB	742	529	944	829
ybhK	377	237	540	456
moaA	963	588	950	700
ybhL	493	294	615	554
ybhN	8	4	24	10
ybhO	13	8	26	12
ybhP	14	13	29	19
ybhR	46	37	114	78
ybhS	74	60	136	104
ybhF	252	185	382	261
ybhG	160	100	246	241
ybiH	58	40	77	58
rhlE	188	111	37	25
dinG	205	136	186	179
ybiB	313	226	269	238
ybiC	2642	1885	2114	2055
ybiX	50	41	85	98
fiu	378	123	84	62
ybiN	282	201	148	156
ybiO	53	27	65	47
glnQ	785	571	2476	2320
glnP	540	440	2172	2091
glnH	2287	1675	14207	12784
rhtA	66	46	82	50
ybiR	264	192	308	282
ybiS	1606	1102	1049	983
ybiT	2162	1539	1836	1668
ybiU	108	79	71	59
ybiV	283	220	153	135
ybiW	65	39	95	98
ybiY	11	5	22	16
fsaA	49	32	49	43
moeB	274	194	250	196
moeA	446	291	449	364
iaaA	1526	1027	1476	1289
yliA	1244	848	1290	1151
yliB	1149	822	1576	1446
yliC	414	262	506	437
yliD	330	234	352	280
yliE	417	421	180	149
yliF	167	181	58	50
yliG	656	412	323	276
yliI	23	25	40	36
yliJ	877	643	1277	1144
dacC	928	730	1052	945
deoR	472	363	474	383
cmr	224	173	158	148
ybjI	225	137	223	202
ybjJ	107	77	88	87
ybjL	422	264	356	340
nfsA	429	263	458	383
rimK	370	247	394	349
potF	1473	1053	1608	1499
potG	608	439	727	605
potH	313	208	340	263
potI	273	177	315	221
rumB	279	190	117	130
artJ	3931	2815	2133	2033
artM	730	544	786	697
artQ	656	525	904	820
artI	1543	1202	2171	1876
artP	937	636	1015	898
ybjR	231	162	307	248
ybjS	263	149	290	257
ybjT	561	344	614	583
ltaE	893	540	919	800
poxB	47	23	52	48
hcr	27	8	23	27
hcp	15	16	21	16
ybjE	155	76	61	72
aqpZ	100	54	89	59
ybjD	448	325	632	549
ybjX	2316	1691	1461	1208
macA	351	228	467	396
macB	377	248	505	446
clpA	6294	4321	13342	11653
aat	116	54	73	45
cydC	484	311	390	361
cydD	566	374	417	355
trxB	5468	3746	4145	4012
lolA	723	542	896	787
ycaJ	507	405	591	548
serS	5551	4025	5071	4538
dmsA	80	92	74	99
dmsB	26	33	35	33
dmsC	71	68	115	118
ycaC	40	25	94	73
ycaD	239	200	169	148
ycaM	22	11	59	38
ycaN	91	70	118	89
pflA	300	214	357	395
pflB	11469	10594	19681	17258
focA	966	945	2107	1744
ycaO	1743	1174	418	432
ycaP	333	237	644	465
serC	12366	8189	5372	5303
aroA	5723	3980	1782	1764
ycaL	77	53	80	72
cmk	2884	2112	2078	1847
rpsA	85900	63854	55787	53439
msbA	1873	1250	1660	1495
lpxK	431	272	341	320
kdsB	1218	849	976	874
ycbJ	80	66	259	265
smtA	549	426	775	641
mukF	1113	789	1457	1356
mukE	664	531	894	742
mukB	4496	3148	5726	5319
ycbB	559	360	513	432
